Date1,Date2,Date3,Date4,Date5,Date6,Date7,Date8,Date9,Date10,Date11,Date12
19.16344775,810.1705,13642.43,36797.81,1691.159,699.1683,7079.775,19925.96,16811.82,575.8814,12330.79,11466.59
77.83119296,586.486,32952.37,53679.39,2239.526,294.6627,7072.015,20760.76,19791.44,395.7726,15545.51,13076.81
112.8071823,111.8601,38904.49,60032.75,2702.615,748.2981,6524.538,11749.64,23356.77,425.4862,16059.36,27858.85
191.5174631,252.9437,54074.26,55832.58,3749.224,569.4365,3864.849,58766.01,20745.31,324.5394,12074.96,77614.99
85.01504281,133.2056,42629.48,34833.48,1972.511,820.302,13675.36,85040.5,14048.58,168.1545,14009.96,3607.528
117.1271226,245.8777,17484.56,18656.49,2551.71,638.7023,22943.57,91191.15,6783.633,12.19162,14126.51,20529.45
112.0233436,411.7616,8513.022,30333.49,3372.14,391.8134,18145.32,78547.23,15184.2,148.4918,12114.92,35623.2
0,1275.554,9221.419,42811.31,4065.784,62.32087,16920.6,69706.18,16761.6,0,29198.16,40130.37
158.2645512,1399.868,9262.022,46836.27,1503.604,5.253635,14280.6,55816.33,17778.39,4.179911,36926.34,21573.4
210.6939605,2967.984,21998.7,54517.97,1218.381,352.1676,49028.31,33060.87,9300.558,255.1953,74724.07,9635.87
184.2246268,2858.124,13153.9,55123.41,309.557,325.6863,44524.63,24256.05,5961.569,0,92350.81,20328
6.04576141,3539.669,9537.844,66783.19,535.1012,352.1403,56434.62,10072.17,7014.746,0,129255.5,35720.25
0,3931.336,9077.106,54269.52,1254.975,338.1678,57810.92,12995.9,7121.997,0,89821.09,43736.37
0.100181279,5150.9,9370.621,54652.61,845.7603,246.5229,46239.6,25540.85,7215.922,0,78088.23,35538.32
0,5169.07,4777.802,49343.97,1867.726,363.078,38828.15,25327.36,8141.469,0,50355.95,44713.73
0,1449.622,5243.78,41651,723.9785,603.3581,4838.377,41291.09,10186.22,0,61868.27,40052.77
0,787.4881,2118.421,44432.27,737.7345,122.3171,10204.22,61406.22,12159.4,0,40735.31,26168.12
0,1113.02,1080.002,60293.67,793.4669,167.3314,14435.5,44547.12,11190.51,0,52942.51,21600.71
0,697.3978,1872.829,67544.1,783.4323,368.8639,45336.46,42345.41,8621.303,20.49266,43462.03,15400.64
17.71068085,1723.782,13005.01,55704.15,852.1764,736.804,43793.76,32734.14,7515.692,187.8929,48811.74,26738.96
0,3566.003,6747.142,45898.26,425.7719,89.84542,12223.91,22114.3,7492.163,317.3672,38525.66,30524.11
0,2232.951,5995.38,38209.85,418.5562,387.8037,12522.13,39856.76,10602.46,169.1045,32299.74,51753.99
0,603.1279,8034.425,48482.89,305.4089,599.9344,3077.376,31699.83,6704.537,14.23815,26680.6,108233.9
