Date1,Date2,Date3,Date4,Date5,Date6,Date7,Date8,Date9,Date10,Date11,Date12
0,504.2902,5932.279,6480.221,1553.59,0,12658.03,1270.929,8420.375,85.92866,20290.32,61184.42
390.6003355,71.07608,6419.024,13237.22,2786.629,0,15078.98,2208.213,9932.926,0,12028.4,52768.33
39.23525035,22.67228,7797.643,13823.51,993.3845,0.947704,10826.96,394.058,4750.025,0,13398.38,51321.16
107.2439525,13.77927,2563.244,5088.363,242.3624,0,8449.258,4901.366,3433.462,0,29462.37,128609.4
227.6133125,119.2929,3888.354,9310.26,158.7453,80.67174,4844.098,315.3409,19918.98,0,28682.31,48169.57
0,9.055069,10437.2,16998.7,399.5525,136.0538,19857.66,803.4532,40356.47,0,26829.95,32429.73
48.25478236,159.7069,5605.016,8527.904,118.4491,424.8102,5617.341,1838.956,72863.73,0,11961.4,44609.08
0,100.3284,2716.096,14700.64,0,499.0306,13553.44,3454.339,106646,0,8299.665,29963.2
0,0,5364.154,17945.44,0,3.587146,15069.01,3677.888,112273.8,0,16747.26,42395.37
0,15.45167,3120.929,6989.621,94.56868,0,22816.86,4033.101,110826.9,0,15630.44,110288.8
62.28355693,2.5876,4067.022,10635.89,0,3.299475,22657.08,6915.112,95432.53,0,19630.81,38903.94
17.91886813,0,1095.03,13663.4,0,11.53181,18929.69,4460.941,73942.41,0,24208.58,35328.2
207.318866,10.79207,500.7605,12407.2,0,167.0432,14524.93,2074.902,80996.06,0,27626.38,29931.41
649.3569175,47.36078,574.0444,7168.983,0,301.4708,11375.11,3090.791,159710.6,0,22578.5,30292.09
143.9840593,0,16.92412,7774.165,0,43.40925,13296.02,712.3531,118272.4,0,14806.4,21390.13
97.16430414,556.9028,11999.66,11438.39,0,392.0063,44525.01,1559.535,78990.59,0.200321,17394.02,21488.59
1380.533489,1.963056,2798.049,3963.104,0,139.3112,25503.67,586.8954,77299.61,5.407602,32484.87,81887.21
412.2130526,43.38782,5816.665,7189.549,47.44942,220.1383,28673.23,745.2323,67219.27,8.331467,39638.86,18819.18
894.3767451,0,1346.629,16185.99,92.37398,66.55615,39855.12,365.7917,199842.3,0,33253.2,51532.2
153.488407,0,2836.347,21123.3,379.8181,141.4416,63996.81,682.0786,127120.2,0,10333.04,23360.92
41.45249737,39.30658,1729.876,19865.84,411.2338,115.9168,122138.2,457.2849,52290.2,0,21547.19,45244.26
322.2881872,349.6468,525.1904,14184.84,70.03764,26.21671,168712.5,2923.403,84724.6,0,18217.39,44490.98
0,1745.683,2055.217,16583.54,13.25216,0,187587,2734.436,103889.9,136.3952,19110.59,38898.94
151.0545226,1323.342,2386.611,11442.01,115.6892,0,175011.8,9672.603,81024.4,1218.536,22301.55,22218.42
3.952155404,775.812,1859.152,15494.32,279.3628,0,139008.2,2149.543,48778.78,665.5145,13033.53,35460.22
0,567.1038,8389.291,31517.61,360.0889,88.27949,115111.4,1654.906,52028.01,806.7219,15980.08,34362.97
0,371.3492,4018.214,18697.5,535.1899,159.1417,88791.57,1780.968,37472.36,1416.663,19253.03,29859.51
34.39834548,253.1952,5328.658,16400.9,194.7141,115.7317,102563.1,934.7619,14811.82,509.8297,6168.899,26305.84
0.924355088,87.60188,2152.7,25081.83,0,46.03362,114888.9,3248,36577.11,339.0712,11758.55,37435.36
939.3870435,0.303481,6725.179,9581.679,203.1682,281.892,121866.6,2576.187,36082.03,196.1783,5187.72,39875.55
457.212424,269.1496,3888.061,12573.47,259.255,447.4634,119987.7,6108.096,30986.65,146.2206,6540.594,38767.04
53.81208466,556.3173,4890.308,14316.63,26.46953,641.237,99255.52,4447.755,18188.91,279.3021,16158.6,42060.71
409.8551132,164.4416,4968.6,19068.07,118.8877,7.414563,122886.3,5420.747,23436.82,250.0052,23418.86,46097.65
874.8549253,13.77143,4869.388,20989.01,252.0892,0,83049.94,8462.725,15430.73,256.225,29241.72,43828.98
754.421628,244.1823,2901.402,24675.52,53.33682,0,143531.1,10040.84,24452.36,416.4145,24343.84,31271.56
0,268.6044,8003.199,27368.1,340.216,111.4952,225776.4,5720.962,23271.21,1229.543,36462.32,99078.41
152.8888147,250.3405,1382.263,21118.09,14.69645,63.19357,162069.2,3386.234,2650.648,235.6519,19607.36,22680.6
54.74186411,415.5419,6027.405,10415.23,82.37578,0,150549.7,345.3566,9162.068,130.5116,36581.37,25323.92
3.421725887,1258.265,2990.663,10451.38,514.0172,2.832465,103079.3,1519.33,9067.488,0,22677.99,47396.08
0,2801.751,3320.202,11237.71,746.5866,0,90087.73,1229.626,8425.41,0,37881.05,19736.31
0,1986.028,1193.569,6616.397,474.7031,0,65097.11,413.4809,7317.799,0,34852.61,13986.94
0,1172.317,768.376,6090.508,223.5565,12.02812,85166.26,385.241,15969.31,595.6018,35119.81,24814.28
0,372.1031,2701.608,10071.17,258.4292,0,118028.6,378.1734,5689.155,11.40213,27650.26,30893.96
0,314.5861,1487.706,19888.29,417.0281,20.41404,112246.6,771.2142,10116.8,432.2892,16800.69,26711.8
107.9798954,366.7539,545.1193,18629.2,544.2056,0,94261.03,741.1663,9870.134,446.0281,26228.51,17591.15
0,255.7652,5148.063,20436.73,574.7575,0,92581.25,315.2996,11560.32,142.7631,17183.19,36784.39
216.7481729,308.4178,1431.142,4333.826,1848.908,0,70588.43,282.9617,5925.722,188.6243,33752.45,96755.85
310.1228199,508.8325,3902.071,13507.44,1429.653,0,52036.98,339.2212,13989.72,81.32257,27657.15,14736.72
0,210.0653,1541.915,20850.08,886.1387,36.50379,30147.38,394.9403,16891.72,23.24927,9227.042,39974.48
0,30.56813,3247.258,10503.97,1119.671,0,34769.42,68.46138,3461.43,15.07649,31347.37,32683.71
0,265.9894,823.8381,9334.533,585.5633,0,38860.06,873.8165,9710.713,178.2082,12889.94,36130.89
0,378.3062,2084.05,9454.707,327.5364,0,51612.31,728.4871,3982.19,102.9575,10534.17,41606.55
0,4.98378,720.0789,4430.421,207.2432,0,57082.98,1332.334,4310.49,0,6809.155,33792.33
0,245.7684,942.2203,6991.651,516.9028,17.59596,53623.74,3969.618,6558.526,28.1958,2371.864,54159.09
0,489.9841,1256.889,5437.962,667.7119,52.62884,47107.36,2871.309,1440.629,49.03893,4962.729,58571.33
0,1469.986,7564.784,11964.93,703.2741,807.2442,68304.13,3170.327,1882.145,262.5502,6380.523,88612.88
57.29551107,104.1099,41.03939,9106.199,0,1003.975,48231.45,7598.602,8566.172,137.2193,1680.084,108562.1
0,370.5909,342.3432,2084.45,27.24426,290.2916,47020.42,6941.103,3455.12,82.06692,3195.964,92300.96
0,447.8085,455.21,4843.675,302.7711,70.07554,32155.74,8782.417,3677.818,158.5578,28569.81,48993.35
0,47.39047,239.3337,6097.52,328.9508,185.646,44850.3,17935.53,5100.115,339.9211,41500.87,26602.03
0,0,90.67903,6822.4,391.1052,169.7371,33519.34,17687.2,12849.03,559.1353,52995.27,16819.89
0,12.14387,897.4036,7361.963,319.173,102.0729,32569.71,57078.95,32173.84,522.8631,45895.91,100804.4
0,0,2835.952,7479.23,294.425,11.13287,32833.4,50181.15,31390.03,417.204,55281.42,19196.02
0,0,4778.997,7218.708,565.0248,0,31125.65,136849.2,21406.04,244.1188,47273.86,32931.54
0,44.99083,1335.146,10389.68,268.564,0,16954.75,106600.6,55754.15,692.0161,17810.18,61518.26
0,6.449484,5595.372,20708.2,0,0,22711.97,87499.34,32932.77,1369.082,18447.31,112240.5
0,0,611.0237,11818.1,0,0,32807.38,57842.25,8201.261,879.5104,15254.38,109994.8
0,28.66408,610.8443,15033.38,79.41533,0,55905.14,30551.95,11302.56,805.6378,13084.98,104805.4
0,0,2050.036,10555.16,95.12966,0,54029.85,30624.13,14856.44,348.3153,15317.52,90893.53
0,0,7031.454,5956.379,21.29536,0,66839.83,25226.46,13662.31,805.4816,24513.18,66111.27
0,0,8428.659,9315.497,0,0,77282.89,23753.14,18258.98,183.5703,42669.33,58888.11
0,0,14731.02,11694.17,0,0,53264.01,44000.15,9091.742,274.8131,47087.24,63779.42
0,0,18006.12,12447.99,0,0,56306.04,50657.58,2055.221,280.1788,58364.32,52838.19
0,3.659754,20817.84,15698.01,0,0,61118.28,97853.24,6100.553,0,70995.83,60060.38
0,0.100396,18074.28,11462.56,0,17.53184,43495.7,52509.54,7708.22,0,38734.64,38246.12
0,180.5684,27828.54,19648.69,11.79633,627.1502,78441.65,54482.7,5305.571,394.1066,32336.46,56279.64
212.5357285,0,19020.59,5754.316,0,209.414,50028.04,19522.7,5131.148,306.4499,17512.32,42900.44
0,0,13562.04,6495.599,0,496.585,40863.81,39646.13,3155.213,163.9685,4030.946,16525.09
137.7137751,0,5570.757,7057.382,0,174.6306,48768.53,47491.61,3052.374,0,3539.937,102251.6
0,0,11142.56,19056.01,24.838,0,39639.07,56735.58,3549.881,0,2958.1,19661
0.205182843,0,14537.76,24411.41,0,0,36437.18,71571.75,4910.951,0,5928.294,9415.39
54.04605045,0,3629.422,12175.85,0,9.124337,12230.08,77621.16,6831.23,0,11709.93,8208.744
