Date1 girl,Date1 boy,Date2 girl,Date2 boy,Date3 girl,Date3 boy,Date4 girl,Date4 boy,Date5 girl,Date5 boy,Date6 girl,Date6 boy,Date7 girl,Date7 boy,Date8 girl,Date8 boy,Date9 girl,Date9 boy,Date10 girl,Date10 boy,Date11 girl,Date11 boy,Date12 girl,Date12 boy
1.186777,0.829108,0.920221,0.354801,0.121712,0.797015,0.133234,0.458551,0.069184,0.566411,0.325419,0.430639,0.088401,0.958356,0.073031,0.45727,0.86513,0.220309,0.099932,0.390665,1.236597,0.349698,1.107239,0.114004
1.182933,0.802208,0.953532,0.354801,0.121712,0.800858,0.133234,0.47136,0.06534,0.536951,0.327981,0.422953,0.08712,0.962199,0.075594,0.453427,0.863849,0.215186,0.101213,0.390665,1.258376,0.350979,1.104676,0.112723
1.170121,0.800927,0.956094,0.352239,0.119149,0.808543,0.134515,0.459832,0.069184,0.534389,0.325419,0.416549,0.08712,0.835393,0.073031,0.454708,0.866411,0.220309,0.099932,0.386822,1.290403,0.35226,1.099552,0.112723
1.171402,0.799646,0.954813,0.349677,0.120431,0.811105,0.133234,0.458551,0.070465,0.533108,0.320294,0.410145,0.090964,0.738047,0.075594,0.45727,0.868974,0.216467,0.098651,0.38426,1.301933,0.350979,1.102114,0.110161
1.177808,0.798365,0.95225,0.350958,0.120431,0.811105,0.133234,0.45727,0.067902,0.531827,0.319013,0.411426,0.089682,0.747013,0.074313,0.455989,0.857443,0.216467,0.099932,0.38426,1.290403,0.35226,1.09699,0.111442
1.180371,0.797084,0.945844,0.350958,0.116587,0.813667,0.140921,0.459832,0.071746,0.527985,0.325419,0.411426,0.08712,0.736766,0.073031,0.454708,0.862568,0.216467,0.099932,0.397069,1.280154,0.348417,1.09699,0.10888
1.193183,0.797084,0.94072,0.349677,0.117868,0.811105,0.153732,0.461113,0.070465,0.531827,0.329262,0.406302,0.088401,0.634297,0.074313,0.454708,0.857443,0.216467,0.099932,0.381699,1.266062,0.348417,1.090585,0.10888
1.191902,0.795803,0.945844,0.352239,0.115306,0.811105,0.115299,0.459832,0.069184,0.53567,0.330544,0.408864,0.085839,0.630454,0.07175,0.453427,0.8536,0.215186,0.099932,0.380418,1.24044,0.348417,1.086742,0.10888
1.195746,0.797084,0.939439,0.349677,0.119149,0.809824,0.115299,0.461113,0.071746,0.529265,0.327981,0.411426,0.08712,0.603556,0.075594,0.452147,0.849756,0.213905,0.099932,0.377856,1.210975,0.348417,1.100833,0.10888
1.193183,0.800927,0.945844,0.347115,0.120431,0.807262,0.115299,0.462393,0.070465,0.529265,0.324138,0.411426,0.089682,0.498525,0.073031,0.445742,0.868974,0.213905,0.101213,0.379137,1.194321,0.35226,1.13414,0.110161
1.193183,0.79196,0.944563,0.356081,0.119149,0.807262,0.115299,0.464955,0.070465,0.529265,0.3267,0.411426,0.089682,0.460099,0.074313,0.44318,0.86513,0.213905,0.101213,0.379137,1.18151,0.348417,1.194348,0.111442
1.195746,0.798365,0.935595,0.358643,0.117868,0.8047,0.115299,0.464955,0.071746,0.531827,0.327981,0.411426,0.08712,0.431919,0.074313,0.445742,0.868974,0.212624,0.102494,0.374014,1.098238,0.353541,1.273771,0.131937
1.193183,0.793241,0.938157,0.361205,0.115306,0.802139,0.115299,0.464955,0.066621,0.527985,0.327981,0.410145,0.085839,0.229542,0.073031,0.44318,0.866411,0.210062,0.103775,0.374014,1.094395,0.354822,1.349352,0.115285
1.205996,0.793241,0.939439,0.361205,0.110181,0.799577,0.115299,0.464955,0.071746,0.527985,0.329262,0.413987,0.084558,0.287181,0.074313,0.44318,0.87538,0.212624,0.103775,0.375294,1.080303,0.35226,1.39675,0.116566
1.20984,0.794522,0.938157,0.359924,0.121712,0.789329,0.115299,0.463674,0.074308,0.527985,0.325419,0.411426,0.081995,0.210329,0.070469,0.444461,0.879223,0.212624,0.098651,0.372733,1.063649,0.349698,1.432618,0.111442
1.205996,0.79196,0.934314,0.362486,0.120431,0.814948,0.115299,0.462393,0.070465,0.527985,0.3267,0.415268,0.083276,0.593309,0.073031,0.440619,0.877942,0.211343,0.105056,0.375294,1.0534,0.35226,1.442866,0.111442
1.204715,0.794522,0.926627,0.363767,0.122993,0.816229,0.115299,0.462393,0.073027,0.529265,0.3267,0.416549,0.081995,0.469065,0.07175,0.440619,0.871536,0.211343,0.101213,0.376575,1.040589,0.350979,1.474892,0.111442
1.212402,0.793241,0.927908,0.362486,0.125555,0.818791,0.115299,0.462393,0.073027,0.530546,0.333106,0.413987,0.080714,0.169341,0.070469,0.440619,0.879223,0.208782,0.102494,0.376575,1.031621,0.353541,1.444147,0.111442
1.208558,0.789398,0.924064,0.362486,0.121712,0.821353,0.115299,0.461113,0.071746,0.538231,0.333106,0.416549,0.081995,0.087366,0.073031,0.440619,0.883067,0.210062,0.101213,0.379137,1.027778,0.353541,1.436461,0.112723
1.207277,0.79196,0.929189,0.362486,0.126836,0.825196,0.115299,0.461113,0.074308,0.53567,0.333106,0.416549,0.084558,0.037412,0.07175,0.4419,0.885629,0.208782,0.099932,0.389384,1.034183,0.35226,1.436461,0.112723
